source_row,domain,careers_url,status_code,job_links_found,sample_job_url,sample_title,error,elapsed_seconds
3215,excelion.zohorecruit.com,https://excelion.zohorecruit.com/recruit/Portal.na?digest=,200,18,https://excelion.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=cafYSSxRN4HSOcb4aaqH8HGAUnkE7bVo.a85bxdBEmQ-&jobid=493446000015161085&widgetid=493446000000072311&embedsource=CareerSite,Full time,,0.35
3216,excis.zohorecruit.com,https://excis.zohorecruit.com/recruit/Portal.na?digest=,200,1,https://excis.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=yO1wLFNb2TI8iTkQVMdKfHGAUnkE7bVo.a85bxdBEmQ-&jobid=468260000047164186&widgetid=468260000000072311&embedsource=CareerSite,Full time,,0.33
3225,experthiring.zohorecruit.com,https://experthiring.zohorecruit.com/recruit/Portal.na?digest=,200,81,https://experthiring.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=sMbtVfIJ.gpvkvria7MtyHGAUnkE7bVo.a85bxdBEmQ-&jobid=482418000006735001&widgetid=482418000000072311&embedsource=CareerSite,Full time,,0.32
3390,federalstaffingsolutions.zohorecruit.com,https://federalstaffingsolutions.zohorecruit.com/recruit/Portal.na?digest=,200,15,https://federalstaffingsolutions.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=vFrfdKh1gFCzixdkdbF0Y3GAUnkE7bVo.a85bxdBEmQ-&jobid=487196000022575005&widgetid=487196000000072311&embedsource=CareerSite,Full time,,0.40
3596,genesisconsulting.zohorecruit.com,https://genesisconsulting.zohorecruit.com/recruit/Portal.na?digest=,200,14,https://genesisconsulting.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=I5cDT2C2jJYIqy3IuU62.dTyfkoe14z07E4xrPnPX.g-&jobid=259185000024330004&widgetid=259185000000052691&embedsource=CareerSite,Integration Consultant,,0.43
3607,geocontrol.zohorecruit.com,https://geocontrol.zohorecruit.com/recruit/Portal.na?digest=,200,12,https://geocontrol.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=awV8S94.jkAvnO2CLtcqnnGAUnkE7bVo.a85bxdBEmQ-&jobid=460115000022641009&widgetid=460115000000072311&embedsource=CareerSite,Full time,,0.34
3718,greathirehr.zohorecruit.com,https://greathirehr.zohorecruit.com/recruit/Portal.na?digest=,200,54,https://greathirehr.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=Qx8B8qu1HVi@yVb@TMCCeHGAUnkE7bVo.a85bxdBEmQ-&jobid=422124000079188191&widgetid=422124000000072311&embedsource=CareerSite,Full time,,0.33
3878,head-huntress.zohorecruit.com,https://head-huntress.zohorecruit.com/recruit/Portal.na?digest=,200,49,https://head-huntress.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=PSVcJQRZfOw.EzQcgG6AEXGAUnkE7bVo.a85bxdBEmQ-&jobid=378607000004361123&widgetid=378607000000072311&embedsource=CareerSite,Workshop Manager and Technical Service Specialist,,0.34
4156,innosphere.zohorecruit.com,https://innosphere.zohorecruit.com/recruit/Portal.na?digest=,200,4,https://innosphere.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=y80egJGLZotQD8ngNDXe13GAUnkE7bVo.a85bxdBEmQ-&jobid=572474000039704080&widgetid=572474000000072311&embedsource=CareerSite,20/07/2026,,0.33
4238,ipstechnologyservices.zohorecruit.com,https://ipstechnologyservices.zohorecruit.com/recruit/Portal.na?digest=,200,8,https://ipstechnologyservices.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=tdHWKo8s43Hw.YIIJkSngJJa@coD7CcBXjfJsm1e9Yw-&jobid=318748000008073235&widgetid=318748000000470023&embedsource=CareerSite,ZR_1862_JOB,,0.34
4268,ittconnect.zohorecruit.com,https://ittconnect.zohorecruit.com/recruit/Portal.na?digest=,200,11,https://ittconnect.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=HqvXOZPJ7ujYh9FNNPTywHGAUnkE7bVo.a85bxdBEmQ-&jobid=423762000043740342&widgetid=423762000000072311&embedsource=CareerSite,Business Development Executive - BPO,,0.34
4761,jovianconcepts.zohorecruit.com,https://jovianconcepts.zohorecruit.com/recruit/Portal.na?digest=,200,42,https://jovianconcepts.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=pMy53mQEF5JN2sDIHjnhTI3A3s2QTjlNpPNDH@8EfxU-&jobid=297272000010712154&widgetid=297272000000812086&embedsource=CareerSite,Full time,,0.32
5031,lucasjamestalent.zohorecruit.com,https://lucasjamestalent.zohorecruit.com/recruit/Portal.na?digest=,200,51,https://lucasjamestalent.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=Nyi9VFWIsbMXNaN0qju4E3GAUnkE7bVo.a85bxdBEmQ-&jobid=461063000120071027&widgetid=461063000000072311&embedsource=CareerSite,Full time,,0.36
5058,m3crecrutement.zohorecruit.com,https://m3crecrutement.zohorecruit.com/recruit/Portal.na?digest=,200,11,https://m3crecrutement.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=36LT2iOfvOFdZ@sD5ERE9Dgjwjkyaz8ZkMQbQdbLaAs-&jobid=293228000034920040&widgetid=293228000000072311&embedsource=CareerSite,Permanent- Adjoint(e) administrative (ID702),,0.33
5069,madiffpl.zohorecruit.com,https://madiffpl.zohorecruit.com/recruit/Portal.na?digest=,200,100,https://madiffpl.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=ZRQE5D8wLcdAMaAg8E793zgjwjkyaz8ZkMQbQdbLaAs-&jobid=300725000045836171&widgetid=300725000000072311&embedsource=CareerSite,"Full Stack Developer (React, Node.js, Python plus)",,0.45
5078,maindigital.zohorecruit.com,https://maindigital.zohorecruit.com/recruit/Portal.na?digest=,200,4,https://maindigital.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=HnGn59WhmgLcTWH4vu1R@3GAUnkE7bVo.a85bxdBEmQ-&jobid=524002000015603001&widgetid=524002000000072311&embedsource=CareerSite,Full time,,0.40
5287,mobix.zohorecruit.com,https://mobix.zohorecruit.com/recruit/Portal.na?digest=,200,3,https://mobix.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=gkg1kVGWLegMfU7OLdj.F3GAUnkE7bVo.a85bxdBEmQ-&jobid=353202000010390009&widgetid=353202000000072311&embedsource=CareerSite,Temps plein,,0.36
5404,mypeoplr.zohorecruit.com,https://mypeoplr.zohorecruit.com/recruit/Portal.na?digest=,200,5,https://mypeoplr.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=AN@1g5euq@1GZA9.qV7vyTgjwjkyaz8ZkMQbQdbLaAs-&jobid=308696000016406099&widgetid=308696000000072311&embedsource=CareerSite,Full time,,0.41
5606,numentica.zohorecruit.com,https://numentica.zohorecruit.com/recruit/Portal.na?digest=,200,5,https://numentica.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=vdse4pa3UG.8eZ1tXmZI9k6Iv7ofyaZPEdyBcE8uW7o-&jobid=253104000021405365&widgetid=253104000000311040&embedsource=CareerSite,Senior Databricks Data Engineer,,0.28
5667,ommincorp.zohorecruit.com,https://ommincorp.zohorecruit.com/recruit/Portal.na?digest=,200,96,https://ommincorp.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=KQYqVjncpn1bWvSh5HEssXGAUnkE7bVo.a85bxdBEmQ-&jobid=465202000504638008&widgetid=465202000000072311&embedsource=CareerSite,Omm2967J,,0.48
5738,osf-global.zohorecruit.com,https://osf-global.zohorecruit.com/recruit/Portal.na?digest=,200,32,https://osf-global.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=z.sj0k0MgyEMr1fSI4zOFVoE2hFM05lozO.rgXupI8M-&jobid=67512000082284284&widgetid=67512000002502217&embedsource=CareerSite,Full time,,0.43
5878,performixbiz.zohorecruit.com,https://performixbiz.zohorecruit.com/recruit/Portal.na?digest=,200,34,https://performixbiz.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=XOy61irGcubSAdEVKNPghHGAUnkE7bVo.a85bxdBEmQ-&jobid=409790000011434001&widgetid=409790000000072311&embedsource=CareerSite,Contract,,0.35
6012,prestigestaffingservices.zohorecruit.com,https://prestigestaffingservices.zohorecruit.com/recruit/Portal.na?digest=,200,33,https://prestigestaffingservices.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=tehbMfv.RuWjDkp86.e2RHGAUnkE7bVo.a85bxdBEmQ-&jobid=347772000008741119&widgetid=347772000000072311&embedsource=CareerSite,Maintenance Technician,,0.35
6132,randallconstruction.zohorecruit.com,https://randallconstruction.zohorecruit.com/recruit/Portal.na?digest=,200,30,https://randallconstruction.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=AbB2kA86glaFxD38f1Rx.HGAUnkE7bVo.a85bxdBEmQ-&jobid=504739000033739915&widgetid=504739000000072311&embedsource=CareerSite,Construction,,0.33
6189,redmane.zohorecruit.com,https://redmane.zohorecruit.com/recruit/Portal.na?digest=,200,9,https://redmane.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=p2GysQ0JPfWTqB3oHQic4nGAUnkE7bVo.a85bxdBEmQ-&jobid=565243000026086001&widgetid=565243000000072311&embedsource=CareerSite,Full time,,0.36
6337,runtalent.zohorecruit.com,https://runtalent.zohorecruit.com/recruit/Portal.na?digest=,200,52,https://runtalent.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=0OK.73wiBeMJ9vQfs@z35XGAUnkE7bVo.a85bxdBEmQ-&jobid=554230000128101010&widgetid=554230000001114248&embedsource=CareerSite,10870 - Analista Funcional Salesforce Sênior,,0.37
6522,seu-usa.zohorecruit.com,https://seu-usa.zohorecruit.com/recruit/Portal.na?digest=,200,100,https://seu-usa.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=kJX@DGU@qbph5QFEcbCUnnGAUnkE7bVo.a85bxdBEmQ-&jobid=455829000023213097&widgetid=455829000000072311&embedsource=CareerSite,Full time,,0.38
6583,simplesolutions.zohorecruit.com,https://simplesolutions.zohorecruit.com/recruit/Portal.na?digest=,200,100,https://simplesolutions.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=y7aAKF2qOzvLOXeqB8tAB3GAUnkE7bVo.a85bxdBEmQ-&jobid=441940000106884263&widgetid=441940000000072311&embedsource=CareerSite,ZR_2991_JOB,,0.37
6623,smarterhrsolutions.zohorecruit.com,https://smarterhrsolutions.zohorecruit.com/recruit/Portal.na?digest=,200,26,https://smarterhrsolutions.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=kSkbnHeM0@ULfN8kre4OLHGAUnkE7bVo.a85bxdBEmQ-&jobid=481538000006303741&widgetid=481538000000072311&embedsource=CareerSite,Contract,,0.35
6703,spinupcampus.zohorecruit.com,https://spinupcampus.zohorecruit.com/recruit/Portal.na?digest=,200,4,https://spinupcampus.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=5sGF7UvK346Q@SDm@u.bNXGAUnkE7bVo.a85bxdBEmQ-&jobid=556859000011505021&widgetid=556859000000072311&embedsource=CareerSite,Full time,,0.47
6847,superlanet.zohorecruit.com,https://superlanet.zohorecruit.com/recruit/Portal.na?digest=,200,42,https://superlanet.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=CQE@8fYzSzczW2ZjBI64NXGAUnkE7bVo.a85bxdBEmQ-&jobid=394790000016417189&widgetid=394790000000072311&embedsource=CareerSite,Full time,,0.36
6882,synergyamerica.zohorecruit.com,https://synergyamerica.zohorecruit.com/recruit/Portal.na?digest=,200,10,https://synergyamerica.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=sB2uV3ltgzz.Kue16rAy3oHTe5KTSk0cZCzmY7hiI9w-&jobid=261135000048791002&widgetid=261135000000053156&embedsource=CareerSite,GC#84,,0.34
6910,talentremedy.zohorecruit.com,https://talentremedy.zohorecruit.com/recruit/Portal.na?digest=,200,46,https://talentremedy.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=EtIeux3ov.N0H9dALoY7DXGAUnkE7bVo.a85bxdBEmQ-&jobid=375927000035769012&widgetid=375927000000072311&embedsource=CareerSite,Full time,,0.41
7158,triforce-inc.zohorecruit.com,https://triforce-inc.zohorecruit.com/recruit/Portal.na?digest=,200,16,https://triforce-inc.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=tmQIbOnWflDZ0S2pElxhAnGAUnkE7bVo.a85bxdBEmQ-&jobid=473204000029058331&widgetid=473204000000072311&embedsource=CareerSite,Full time,,0.36
7432,vets2pm.zohorecruit.com,https://vets2pm.zohorecruit.com/recruit/Portal.na?digest=,200,100,https://vets2pm.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=yZs@b07qk2eRrcVnyJ6MO3GAUnkE7bVo.a85bxdBEmQ-&jobid=394779000037797151&widgetid=394779000000072311&embedsource=CareerSite,SkillBridge Internship,,0.34
7464,virtualcoworker.zohorecruit.com,https://virtualcoworker.zohorecruit.com/recruit/Portal.na?digest=,200,47,https://virtualcoworker.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=mYhLPVmsdoeEYzvtj4AKbREeGeVtTSXj0oujw0LII30-&jobid=147741000085841096&widgetid=147741000000390320&embedsource=CareerSite,Video Editor for a Nutrition Company in Australia (Home Based Part Time),,0.52
7545,wbtalentpartners.zohorecruit.com,https://wbtalentpartners.zohorecruit.com/recruit/Portal.na?digest=,200,29,https://wbtalentpartners.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=@CEXVflOM2BZiSI9m0yKkXGAUnkE7bVo.a85bxdBEmQ-&jobid=498849000013350059&widgetid=498849000000072311&embedsource=CareerSite,Full time,,0.33
7681,workiy.zohorecruit.com,https://workiy.zohorecruit.com/recruit/Portal.na?digest=,200,24,https://workiy.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=Jp6.y8Tm4LbXlkuU70GSWXGAUnkE7bVo.a85bxdBEmQ-&jobid=574222000021773002&widgetid=574222000000072311&embedsource=CareerSite,Contract,,0.36
7682,workplacesolutionsllc.zohorecruit.com,https://workplacesolutionsllc.zohorecruit.com/recruit/Portal.na?digest=,200,4,https://workplacesolutionsllc.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=mO@TZIZngFbqI3hjITuOhHGAUnkE7bVo.a85bxdBEmQ-&jobid=491111000004367010&widgetid=491111000000072311&embedsource=CareerSite,Operations,,0.42
8183,yamibuy.zohorecruit.com,https://yamibuy.zohorecruit.com/recruit/Portal.na?digest=,200,14,https://yamibuy.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=io8o0GCZj62Ocqwo1aiPw3GAUnkE7bVo.a85bxdBEmQ-&jobid=394538000011857071&widgetid=394538000001094057&embedsource=CareerSite,Full time,,0.88
